"filename", "language", "MS SQL", "Markdown", "Python", "JSON", "C#", "PowerShell", "Properties", "XML", "comment", "blank", "total"
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Vehicles\HeavyEquipment\HeavyEquipmentAdDtoValidator.cs", "C#", 0, 0, 0, 0, 35, 0, 0, 0, 0, 7, 42
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Vehicles\MotorcycleAdDtoValidator.cs", "C#", 0, 0, 0, 0, 45, 0, 0, 0, 1, 9, 55
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Vehicles\TransportAdDtoValidator.cs", "C#", 0, 0, 0, 0, 43, 0, 0, 0, 1, 9, 53
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Ads\Vehicles\TruckAdDtoValidator.cs", "C#", 0, 0, 0, 0, 44, 0, 0, 0, 1, 9, 54
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Common\EnumValidatorExtensions.cs", "C#", 0, 0, 0, 0, 26, 0, 0, 0, 3, 5, 34
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Common\LocationAdDtoValidator.cs", "C#", 0, 0, 0, 0, 57, 0, 0, 0, 5, 10, 72
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\README_MULTILINGUAL_VALIDATION.md", "Markdown", 0, 154, 0, 0, 0, 0, 0, 0, 0, 37, 191
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\Validators\Users\CreateUserDtoValidator.cs", "C#", 0, 0, 0, 0, 41, 0, 0, 0, 0, 12, 53
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\bin\Debug\net9.0\ClassifiedAds.Application.deps.json", "JSON", 0, 0, 0, 434, 0, 0, 0, 0, 0, 0, 434
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\obj\ClassifiedAds.Application.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 171, 0, 0, 0, 0, 0, 0, 171
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\obj\ClassifiedAds.Application.csproj.nuget.g.props", "XML", 0, 0, 0, 0, 0, 0, 0, 19, 0, 0, 19
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\obj\ClassifiedAds.Application.csproj.nuget.g.targets", "XML", 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 7
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\obj\Debug\net9.0\.NETCoreApp,Version=v9.0.AssemblyAttributes.cs", "C#", 0, 0, 0, 0, 3, 0, 0, 0, 1, 1, 5
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\obj\Debug\net9.0\ClassifiedAds.Application.AssemblyInfo.cs", "C#", 0, 0, 0, 0, 9, 0, 0, 0, 9, 5, 23
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\obj\Debug\net9.0\ClassifiedAds.Application.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 16
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\obj\Debug\net9.0\ClassifiedAds.Application.GlobalUsings.g.cs", "C#", 0, 0, 0, 0, 7, 0, 0, 0, 1, 1, 9
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\obj\Debug\net9.0\ClassifiedAds.Application.sourcelink.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\obj\Release\net9.0\.NETCoreApp,Version=v9.0.AssemblyAttributes.cs", "C#", 0, 0, 0, 0, 3, 0, 0, 0, 1, 1, 5
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\obj\Release\net9.0\ClassifiedAds.Application.AssemblyInfo.cs", "C#", 0, 0, 0, 0, 9, 0, 0, 0, 10, 5, 24
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\obj\Release\net9.0\ClassifiedAds.Application.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 16
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\obj\Release\net9.0\ClassifiedAds.Application.GlobalUsings.g.cs", "C#", 0, 0, 0, 0, 7, 0, 0, 0, 1, 1, 9
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Application\obj\project.assets.json", "JSON", 0, 0, 0, 1281, 0, 0, 0, 0, 0, 0, 1281
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\ClassifiedAds.Domain.csproj", "XML", 0, 0, 0, 0, 0, 0, 0, 11, 0, 4, 15
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Common\Attributes\GetUnitsAttribute.cs", "C#", 0, 0, 0, 0, 7, 0, 0, 0, 0, 3, 10
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Common\Attributes\QueryKeyAttribute.cs", "C#", 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Common\Attributes\QueryValueAttribute.cs", "C#", 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Common\Enums\Status.cs", "C#", 0, 0, 0, 0, 8, 0, 0, 0, 0, 3, 11
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Common\Enums\Units.cs", "C#", 0, 0, 0, 0, 28, 0, 0, 0, 0, 14, 42
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Common\Enums\YesNo.cs", "C#", 0, 0, 0, 0, 9, 0, 0, 0, 0, 4, 13
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Common\ValueObjects\AdImage.cs", "C#", 0, 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Common\ValueObjects\Category.cs", "C#", 0, 0, 0, 0, 6, 0, 0, 0, 12, 3, 21
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Common\ValueObjects\LocationAd.cs", "C#", 0, 0, 0, 0, 8, 0, 0, 0, 20, 5, 33
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Common\ValueObjects\Price.cs", "C#", 0, 0, 0, 0, 7, 0, 0, 0, 4, 5, 16
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Ad.cs", "C#", 0, 0, 0, 0, 59, 0, 0, 0, 0, 3, 62
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Domain\Entities\Ads\Electronics\Computer.cs", "C#", 0, 0, 0, 0, 15, 0, 0, 0, 0, 3, 18
