"filename", "language", "Markdown", "MS SQL", "C#", "JSON", "Python", "PowerShell", "XML", "Properties", "comment", "blank", "total"
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\Notes\logisticRegression.md", "Markdown", 10, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\Notes\query_params_enumnation.cs", "C#", 0, 0, 250, 0, 0, 0, 0, 0, 29, 47, 326
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\Notes\rateLimiter.md", "Markdown", 33, 0, 0, 0, 0, 0, 0, 0, 0, 7, 40
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\Notes\takepoints.md", "Markdown", 11, 0, 0, 0, 0, 0, 0, 0, 0, 10, 21
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\SQL\Inserting-data\category_generator.py", "Python", 0, 0, 0, 0, 363, 0, 0, 0, 39, 112, 514
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\SQL\Inserting-data\category_inserts.sql", "MS SQL", 0, 1458, 0, 0, 0, 0, 0, 0, 34, 114, 1606
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\SQL\Tables.sql", "MS SQL", 0, 118, 0, 0, 0, 0, 0, 0, 60, 59, 237
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\SQL\data-inserting-example.sql", "MS SQL", 0, 35, 0, 0, 0, 0, 0, 0, 2, 10, 47
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\ENUM_UPDATE_STATUS.md", "Markdown", 56, 0, 0, 0, 0, 0, 0, 0, 0, 13, 69
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\ClassifiedAds.Api.csproj", "XML", 0, 0, 0, 0, 0, 0, 19, 0, 0, 5, 24
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\Controllers\DynamicAdsController.cs", "C#", 0, 0, 177, 0, 0, 0, 0, 0, 34, 22, 233
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\Examples\AdPatch.md", "Markdown", 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\Examples\AdPost.md", "Markdown", 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\Examples\Miscellaneous\BookAd\BookAdPatch.md", "Markdown", 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\Examples\Miscellaneous\BookAd\BookAdPost.md", "Markdown", 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\Examples\Vehicles\HeavyEquipment\CraneAd\CraneAdPost.md", "Markdown", 23, 0, 0, 0, 0, 0, 0, 0, 0, 2, 25
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\Middleware\LanguageMiddleware.cs", "C#", 0, 0, 33, 0, 0, 0, 0, 0, 0, 8, 41
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\Program.cs", "C#", 0, 0, 66, 0, 0, 0, 0, 0, 9, 20, 95
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\Properties\launchSettings.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 24
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\README_API_IMPLEMENTATION.md", "Markdown", 209, 0, 0, 0, 0, 0, 0, 0, 0, 58, 267
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\appsettings.Development.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\appsettings.json", "JSON", 0, 0, 0, 21, 0, 0, 0, 0, 0, 1, 22
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\bin\Debug\net9.0\ClassifiedAds.Api.deps.json", "JSON", 0, 0, 0, 730, 0, 0, 0, 0, 0, 0, 730
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\bin\Debug\net9.0\ClassifiedAds.Api.runtimeconfig.json", "JSON", 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 20
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\bin\Debug\net9.0\ClassifiedAds.Api.staticwebassets.endpoints.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\bin\Debug\net9.0\ClassifiedAds.Api.staticwebassets.runtime.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\bin\Debug\net9.0\ClassifiedAds.Api.xml", "XML", 0, 0, 0, 0, 0, 0, 39, 0, 0, 3, 42
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\bin\Debug\net9.0\appsettings.Development.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\bin\Debug\net9.0\appsettings.json", "JSON", 0, 0, 0, 21, 0, 0, 0, 0, 0, 1, 22
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\obj\ClassifiedAds.Api.csproj.nuget.dgspec.json", "JSON", 0, 0, 0, 352, 0, 0, 0, 0, 0, 0, 352
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\obj\ClassifiedAds.Api.csproj.nuget.g.props", "XML", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 24
"c:\Users\Humam\OneDrive\Documents\Classified-db-v2\backend\src\ClassifiedAds.Api\obj\ClassifiedAds.Api.csproj.nuget.g.targets", "XML", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 8
